docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
loc.ark+=13960=t5s75wn6s,1874,1874,1874,reviewed,8656914,6340366,"Hudson, H. R.",Boston;J. R. Osgood and Company;1874.,,Poems,pub,,,1874,ATL,,,,,obscure,
uc1.b274713,1875,1875,1874,reviewed,6518166,3801953,"Perry, Nora,",Boston;J. R. Osgood;1875.,,After the ball,rev,pos,,1874,ATL,1831,f,us,,,
uva.x000169685,1874,1874,1874,reviewed,9789400,3200115,"Rankine, William John Macquorn,",Glasgow;James Maclehose;1874.,,Songs and fables,pub,,,1862,BM,1820,m,uk,,published in Blackwoods,
uc2.ark+=13960=t0tq5ww75,1874,1874,1874,reviewed,6130501,11400948,"Lytton, Edward Robert Bulwer Lytton,",Edinburgh;London;William Blackwood and Sons;1874.,v.2,Fables in song,rev,,,1874,FR,1803,m,uk,,,
uc2.ark+=13960=t7pn9f10q,1874,1874,1874,reviewed,6130501,11400948,"Lytton, Edward Robert Bulwer Lytton,",Edinburgh;London;William Blackwood and Sons;1874.,v.1,Fables in song,rev,,,1874,FR,1803,m,uk,,,
loc.ark+=13960=t9572953d,1874,1874,1874,random,8656270,,"Glover, H. C.",New York;J. W. Stoops;1874.,,Rights and wrongs of woman,,,,,,,,,,,
umn.31951d008327233,1874,1874,1874,random,8373661,,"Hall, C. A.","Philadelphia;J. A. Wagenseller, printer;1874.",,"Songs for the Grange, dedicated to the Order of Patrons of Husbandry in the United States",,,,,,1838,m,us,,,
uc2.ark+=13960=t0bv7gp3c,1874,1874,1874,random,7689851,,,Grantham;Ridge;1874.,,Lays of the Belvoir Hunt,,,,,,,,,,,
njp.32101067707651,1874,1874,1874,random,8964911,,"Beck, Edward Anthony,",Brighton?;Curtis;1874?,,The Holy sepulchre,,,,,,1848,m,uk,,,
uc2.ark+=13960=t5w66g74f,1873,1873,1873,reviewed,7688304,10436993,"Gosse, Edmund,",London;Henry S. King;1873.,,On viol and flute,rev,pos,,1883,ATL,1849,m,uk,,,
njp.32101067632925,1873,1873,1873,random,8961379,,"Dobson, Austin,",London;H.S. King & Co. ...;1873.,,Vignettes in rhyme and vers de société (now first collected),,,,,,1840,m,uk,,,
mdp.39015063542537,1895,1895,1873,reviewed,283393,32292356,"Austin, Alfred,",London;New York;Macmillan & co.;1895.,,Madonna's child,rev,,,1873,FR,1835,m,uk,,,
