filename,id,language,date,author,title,gender,person,length
"EN_1911_Wharton,Edith_EthanFrome_Novel.txt",282,English,1911,"Wharton,Edith",EthanFrome,female,first,34703
"EN_1912_Cather,Willa_Alexander'sBridge_Novel.txt",283,English,1912,"Cather,Willa",Alexander'sBridge,female,third,27130
"EN_1912_Dreiser,Theodore_TheFinancier_Novel.txt",284,English,1912,"Dreiser,Theodore",TheFinancier,male,third,193150
"EN_1913_Lawrence,D.H._SonsandLovers_Novel.txt",285,English,1913,"Lawrence,D.H.",SonsandLovers,male,third,160108
"EN_1915_Ford,FordMadox_TheGoodSoldier_Novel.txt",286,English,1915,"Ford,FordMadox",TheGoodSoldier,male,first,75153
"EN_1916_Joyce,James_APortraitoftheArtistasaYoungMan_Novel.txt",287,English,1916,"Joyce,James",APortraitoftheArtistasaYoungMan,male,third,84736
"EN_1917_Cahan,Abraham_TheRiseofDavidLevinsky_Novel.txt",288,English,1917,"Cahan,Abraham",TheRiseofDavidLevinsky,male,first,168791
"EN_1917_Lewis,Sinclair_TheInnocents_Novel.txt",289,English,1917,"Lewis,Sinclair",TheInnocents,male,third,41308
"EN_1917_Webb,Mary_GonetoEart_Novel.txt",290,English,1917,"Webb,Mary",GonetoEart,female,third,81446
"EN_1918_Lewis,Sinclai_TheJob_Nove.txt",291,English,1918,"Lewis,Sinclai",TheJob,male,third,90254
"EN_1920_DosPassos,John_ThreeSoldiers_Novel.txt",292,English,1920,"DosPassos,John",ThreeSoldiers,male,first,133832
"EN_1920_Fitzgerald,FScott_ThisSideofParadise_Novel.txt",293,English,1920,"Fitzgerald,FScott",ThisSideofParadise,male,third,71005
"EN_1920_Wharton,Edith_TheAgeofInnocence_Novel.txt",294,English,1920,"Wharton,Edith",TheAgeofInnocence,female,third,101167
"EN_1922_Fitzgerald,FScott_TheBeautifulandtheDamned_Novel.txt",295,English,1922,"Fitzgerald,FScott",TheBeautifulandtheDamned,male,third,123338
"EN_1922_Joyce,James_Ulysses_Novel.txt",296,English,1922,"Joyce,James",Ulysses,male,first,264170
"EN_1925_Woolf,Virginia_Mrs.Dalloway_Novel.txt",297,English,1925,"Woolf,Virginia",Mrs.Dalloway,female,third,63367
"EN_1927_Woolf,Virginia_TotheLighthouse_Novel.txt",298,English,1927,"Woolf,Virginia",TotheLighthouse,female,third,69276
"EN_1928_Woolf,Virginia_Orlando_Novel.txt",299,English,1928,"Woolf,Virginia",Orlando,female,third,78380
"EN_1930_Mansfield,Katherine_TheAloe_Novel.txt",300,English,1930,"Mansfield,Katherine",TheAloe,female,third,25870
